品牌车型,,,,,,,,购买年份,里程,销售方式,特点,原价/万,是否有补贴,现价/万
福特, 福克斯, 2012款, 两厢, 1.6L, 自动风尚型,,,2014, 8.1万公里, 到店服务,,9.2,0,5.5
大众, 宝来, 2015款, 质惠版, 1.6L, 手动时尚型,,,2016, 6.2万公里,,急售准新车,20.6,0,6.15
别克, 英朗, 2018款, 18T, 自动精英型,,,,2018, 2.3万公里, 到店服务,,16.3,0,7.9
大众POLO, 2014款, 1.6L, 手动舒适版,,,,,2016, 3.0万公里, 到店服务,急售,14.8,0,5.73
长城C50, 2013款, 1.5T, 手动时尚型,,,,,2013, 8.9万公里, 到店服务,,17.4,0,2.7
别克, 君越, 2013款, 2.0T, SIDI, 精英技术型,,,2014, 7.9万公里,,,15.2,0,9.5
比亚迪, 宋, 2016款, 盖世版, 1.5TID, 自动精英型,,,2017, 2.7万公里, 到店服务,严选车,33.6,0,6.4
福特, 福克斯, 2015款, 三厢, 1.6L, 自动舒适型,,,2015, 3.7万公里, 到店服务,,20.9,0,6.44
丰田, YARiS, L, 致炫, 2015款, 1.5E, 自动魅动版,,2016, 7.4万公里, 到店服务,急售,14.6,0,5.94
本田, 凌派, 2016款, 1.8L, CVT豪华版,,,,2016, 9.7万公里, 到店服务,,39.8,0,8.5
海马M3, 2015款, 1.5L, 手动精英型,,,,,2015, 2.5万公里, 到店服务,急售,14.7,0,2.9
奥迪Q3, 2013款,35, TFSI, 舒适型,,,,2013, 9.8万公里,,,37,0,12
别克, 君威, 2015款, 1.6T, 领先技术型,,,,2015, 7.5万公里, 到店服务,,43.2,0,8.6
标致408, 2014款, 1.8L, 自动豪华版,,,,,2015, 8.7万公里, 到店服务,急售,42.1,0,7.5
奔驰C级, 2015款, C,260, L, 运动型,,,2015, 8.2万公里, 到店服务,,13.8,0,25.98
福特, 福睿斯, 2017款, 改款, 1.5L, 自动舒适型,,,2018, 2.2万公里, 到店服务,急售,15.1,0,6.9
马自达6, 2013款, 2.0L, 自动时尚型,,,,,2014, 4.5万公里, 到店服务,急售,14.8,0,6.9
现代, 途胜, 2013款, 2.0L, 自动两驱舒适型,,,,2013, 6.3万公里, 到店服务,,40.2,0,6.1
福特, 福克斯, 2017款, 两厢, 1.6L, 自动舒适型智行版,,,2017, 2.2万公里, 到店服务,,57,0,7.3
斯柯达, 速派, 2013款, 1.4TSI, 手动绅仕版,,,,2014, 1.3万公里, 到店服务,,24.2,0,8
奔驰GLC级, 2016款, GLC,260, 4MATIC, 动感型,,,2016, 3.5万公里,,准新车,16,0,28
吉利, 博瑞, 2015款, 1.8T, 旗舰型,,,,2015, 5.7万公里, 到店服务,,21.1,0,8.86
本田, 思域, 2016款, 220TURBO, CVT尊贵版,,,,2017, 4.1万公里, 到店服务,急售,11.2,0,12.71
哈弗H2, 2017款, 蓝标, 1.5T, 自动两驱尊贵型,,,,2017, 1.6万公里, 到店服务,急售,27.6,0,7.5
标致2008, 2014款, 1.6L, 自动潮流版,,,,,2014, 5.3万公里, 到店服务,,15.1,0,5.5
大众POLO, 2014款, 1.6L, Cross, POLO, 手动,,,2014, 5.5万公里,,,13.2,0,5.84
沃尔沃V40, 2015款, 1.6T, 智逸版(进口),,,,,2014, 6.4万公里, 到店服务,急售,11.5,0,11
大众, 宝来, 2014款, 1.6L, 自动舒适型,,,,2014, 2.4万公里, 到店服务,,29.2,0,7.3
玛莎拉蒂Ghibli, 2014款, 3.0T, 标准版,,,,,2015, 12.6万公里,,急售,24.9,0,47
丰田, 凯美瑞, 2018款, 2.0G, 豪华版,,,,2018, 900公里, 到店服务,急售,12.8,0,19.58
奇瑞, 瑞虎3, 2014款, 1.6L, 手动智尚版,,,,2014, 2.5万公里, 到店服务,,21.3,0,3.2
宝马1系, 2013款, 改款, 116i, 领先型(进口),,,,2013, 5.9万公里, 到店服务,急售,19.4,0,10.5
沃尔沃XC60, 2012款, T5, 舒适版(进口),,,,,2011, 8.7万公里, 到店服务,,13.9,0,12
起亚K5, 2014款, 2.0L, 自动LUXURY,,,,,2014, 8.2万公里, 到店服务,急售,45.7,0,8.6
宝马5系, 2014款, 520Li, 典雅型,,,,,2014, 9.2万公里, 到店服务,,13.5,0,23.3
丰田, YARiS, L, 致炫, 2014款, 1.5G, 自动炫动版,,2015, 6.7万公里, 到店服务,,12.5,0,6.1
MG5, 2014款, 1.5T, 自动豪华型,,,,,2014, 2.5万公里,,,10.2,0,5
大众CC, 2013款, 2.0TSI, 豪华型,,,,,2014, 9.8万公里, 到店服务,,9.3,0,14.48
Smart, smart, fortwo, 2017款, 1.0L, 52千瓦硬顶挚爱特别版,,,2017, 2.4万公里, 到店服务,,26.9,0,9.58
丰田, 花冠, 2013款, 1.6L, 自动豪华版,,,,2015, 3.8万公里, 到店服务,,13,0,7.5
本田, 飞度, 2018款, 1.5L, CVT舒适版,,,,2018, 2.0万公里, 到店服务,,17.4,0,7.5
标致408, 2016款, 1.6T, 自动豪华版,,,,,2017, 3.5万公里, 到店服务,超值急售,18.4,0,9.29
起亚K3, 2016款, 1.6L, 自动GLS,,,,,2017, 1.7万公里, 到店服务,超值,41,0,7.78
福特, 嘉年华, 2009款, 三厢, 1.5L, 自动时尚型,,,2010, 9.9万公里,,,56.2,0,2.2
奔驰B级, 2015款, B,200, 豪华型(进口),,,,2015, 4.7万公里, 到店服务,严选车,21,0,15.4
别克, 凯越, 2013款, 1.5L, 自动经典型,,,,2014, 6.3万公里,,,31.3,0,3.99
大众, 朗逸, 2011款, 2.0L, 手动品悠版,,,,2011, 3.1万公里,,急售,36.8,0,4.2
本田, 杰德, 2016款, 1.8L, 自动舒适精英版, 5座,,,2016, 4.6万公里, 到店服务,准新车,5.3,0,10.3
雪佛兰, 科帕奇, 2012款, 2.4L, 四驱旗舰版, 7座,,,2012, 14.5万公里, 到店服务,超值,62.7,0,7.9
Smart, smart, fortwo, 2017款, 0.9T, 66千瓦灰引力特别版, 国V,,2017, 3.9万公里, 到店服务,,16.4,0,10.48
长安, 逸动, 2014款, 1.6L, 手动精英型,,,,2014, 7.5万公里, 到店服务,急售,36.1,0,3.2
大众, 高尔夫, 2012款,1.6, 手动时尚型,,,,2013, 4.2万公里, 到店服务,急售准新车,31.3,0,5.21
五菱荣光V, 2016款, 1.5L标准型,,,,,,2017, 3.9万公里, 到店服务,急售,31.8,0,3.75
铃木, 雨燕, 2013款, 1.5L, 自动20周年限量版,,,,2015, 1.9万公里, 到店服务,急售,6.5,0,5.5
奥迪A5, 2014款, Cabriolet,45, TFSI(进口),,,,2014, 4.8万公里, 到店服务,急售,13.7,0,27.8
大众, 朗逸, 2018款, 1.5L, 自动舒适版,,,,2018, 1.1万公里, 到店服务,,21.4,0,11.9
哈弗H6, 2015款, 改款, 运动版, 1.5T, 手动两驱精英型,,,2016, 4.3万公里,,严选车,14.8,0,6.25
奥迪A6L, 2014款, TFSI, 标准型,,,,,2014, 8.2万公里, 到店服务,,27.8,0,21.5
本田, 艾力绅, 2016款, 2.4L, 豪华版,,,,2016, 8.7万公里,,急售,23.9,0,21.6
众泰T600, 2014款, 1.5T, 手动精英型,,,,,2015, 2.6万公里,,,32,0,3.3
本田, 杰德, 2013款, 1.8L, 自动舒适版, 5座,,,2015, 7.6万公里, 到店服务,,29.3,0,8.65
丰田, RAV4, 2016款, 2.0L, CVT两驱风尚版, 国V,,,2017, 2.2万公里, 到店服务,,38.4,0,14.6
奔驰GLK级, 2013款, GLK,300, 4MATIC, 动感天窗型,,,2014, 6.8万公里, 到店服务,急售,23.6,0,23
雪佛兰, 迈锐宝, 2013款, 2.0L, 自动豪华版,,,,2013, 8.7万公里, 到店服务,,16.3,0,7.8
奔驰SLK级, 2011款, SLK,200, 豪华运动型(进口),,,,2012, 6.2万公里,,,35.8,0,20.94
丰田, 凯美瑞, 2015款, 双擎, 2.5HG, 豪华导航版,,,2015, 6.4万公里, 到店服务,,17.7,0,16
大众, 捷达, 2013款, 1.6L, 自动舒适型,,,,2014, 3.4万公里, 到店服务,,62.7,0,6
奔驰E级, 2015款, 改款, E,260, L, 运动型,,2015, 8.6万公里, 到店服务,急售,16.8,0,26.98
奥迪A4L, 2018款, 30周年年型,40, TFSI, 时尚型,,,2019, 0.2万公里, 到店服务,急售准新车,21.3,0,28.5
本田, 飞度, 2014款, 1.5L, LX, 手动舒适型,,,2015, 3.3万公里, 到店服务,,53.7,0,5.5
丰田, 威驰, 2014款, 1.5L, 自动智臻版,,,,2015, 9.6万公里, 到店服务,急售,46.1,0,6.1
本田, 锋范经典, 2012款, 1.5L, 手动舒适版,,,,2013, 4.2万公里, 到店服务,急售,19.4,0,4.07
大众, 途观, 2016款, 300TSI, 自动两驱豪华版,,,,2016, 12.3万公里, 到店服务,超值严选车,9.6,0,13.3
奔驰B级, 2009款, B,200, 时尚型(进口),,,,2012, 8.5万公里, 到店服务,急售准新车严选车,16.8,0,8.86
比亚迪S6, 2014款, 2.4L, 自动尊贵型, 5座,,,,2014, 10.3万公里, 到店服务,超值准新车严选车,15.8,0,3.7
哈弗H6, 2014款, 运动版, 1.5T, 手动两驱精英型,,,,2015, 6.6万公里, 到店服务,超值严选车,13.3,0,5.91
标致308, 2014款, 乐享版, 经典, 1.6L, 自动优尚型,,,2016, 1.7万公里, 到店服务,超值严选车,9.3,0,7
福特, 蒙迪欧, 2017款, EcoBoost,245, 旗舰型,,,2016, 4.3万公里,,急售严选车,21,0,15.58
福特, 福克斯, 2012款, 三厢, 1.6L, 手动风尚型,,,2012, 6.1万公里,,严选车,17.5,0,4.8
别克, 英朗, 2017款, 15N, 自动精英型,,,,2017, 3.7万公里,,严选车,34.6,0,6.97
斯巴鲁, 傲虎, 2014款, 2.5i, 雅尚运动版,,,,2014, 7.3万公里,,严选车,8.9,0,15.94
奔驰C级, 2018款, C,200, 运动版,,,,2018, 3.5万公里, 到店服务,严选车,13.8,0,28.8
铃木, 雨燕, 2015款, 1.5L, 自动限定版,,,,2016, 1.5万公里, 到店服务,严选车,11.3,0,6
大众, 凌渡, 2018款, 280TSI, DSG舒适版,,,,2018, 1.9万公里, 到店服务,严选车,14.1,0,13.8
雪佛兰, 迈锐宝, 2014款, 2.0L, 自动舒适版,,,,2015, 11.1万公里, 到店服务,超值急售严选车,10.3,0,7.5
奔驰E级, 2015款, 改款, E,260, L, 运动型,,2016, 10.5万公里, 到店服务,准新车严选车,11.2,0,27.8
大众, 朗逸, 2015款, 230TSI, DSG舒适版,,,,2016, 5.0万公里,,超值严选车,16.6,0,8.49
斯柯达, 速派, 2016款, TSI330, DSG创行版,,,,2017, 3.1万公里, 到店服务,严选车,8.5,1,11.31
福特, 嘉年华, 2013款, 两厢, 1.5L, 手动风尚型,,,2014, 4.5万公里, 到店服务,严选车,16.4,0,3.57
日产, 天籁, 2014款, 公爵, 2.5L, XV尊享版,,,2014, 3.5万公里, 到店服务,严选车,16.3,1,13.06
日产, 阳光, 2015款, 1.5XE, 手动舒适版,,,,2015, 4.7万公里, 到店服务,超值严选车,12.6,0,4.35
别克, 凯越, 2015款, 1.5L, 自动经典型,,,,2015, 7.7万公里,,严选车,10.4,0,4.8
大众, 宝来, 2013款, 1.6L, 手动时尚型,,,,2014, 1.5万公里,,严选车,21.2,0,6.05
大众, 凌渡, 2017款, 280TSI, DSG舒适版,,,,2017, 4.1万公里, 到店服务,严选车,12,0,12.52
现代, 朗动, 2015款, 1.6L, 自动领先型,,,,2016, 5.3万公里, 到店服务,严选车,11.4,0,7.3
宝马3系, 2016款, 320i, 时尚型,,,,,2016, 6.9万公里, 到店服务,超值严选车,29.2,0,19.8
三菱, 欧蓝德, 2018款, 2.0L, 两驱嘉乐版, 7座,,,2018, 1.9万公里, 到店服务,准新车严选车,18.7,0,14.88
丰田, RAV4, 2013款, 2.0L, CVT两驱都市版,,,,2014, 9.7万公里, 到店服务,准新车严选车,10.3,0,11
大众, 甲壳虫, 2013款, 1.2TSI, 时尚型(进口),,,,2014, 1.7万公里, 到店服务,严选车,26.4,0,12.12
福特, 福克斯, 2018款, 两厢经典, EcoBoost,180, 自动精英型,,2018, 800公里,,超值严选车,36.9,0,9.6
大众, 迈腾, 2013款, 1.8TSI, 豪华型,,,,2014, 11.1万公里, 到店服务,超值严选车,13,0,10.8
大众, 迈腾, 2015款, 1.8TSI, 领先型,,,,2015, 6.7万公里, 到店服务,严选车,13.7,0,12.8
大众, 高尔夫, 2015款, 1.4TSI, 自动舒适型,,,,2015, 9.5万公里, 到店服务,严选车,16.8,0,8.65
奔驰GLK级, 2014款, GLK,200, 标准型,,,,2015, 9.5万公里, 到店服务,严选车,18,0,22.2
起亚K4, 2015款, 1.8L, 自动GLS, Special,,,,2016, 5.7万公里, 到店服务,严选车,20.6,0,9.8
大众, 高尔夫, 2016款, 230TSI, 自动豪华型,,,,2015, 5.0万公里, 到店服务,超值严选车,9.4,0,9.93
哈弗H6, 2016款, 升级版, 1.5T, 手动两驱精英型,,,,2016, 3.2万公里,,超值严选车,13.4,0,7.3
斯柯达, 明锐, 2015款, 1.6L, 手动逸杰版,,,,2014, 6.1万公里,,严选车,8.9,0,5.21
日产, 轩逸, 2012款, 1.6XL, CVT豪华版,,,,2013, 4.8万公里, 到店服务,严选车,27.7,0,7.5
传祺GA6, 2016款, 235T, DCT豪华版,,,,,2018, 2.6万公里, 到店服务,超值准新车严选车,13,0,9
荣威RX5, 2018款, 20T, 两驱手动互联网智尊版,,,,,2018, 1.2万公里, 到店服务,超值准新车严选车,13.4,0,8.77
马自达6, 2011款, 2.0L, 自动时尚型,,,,,2012, 12.2万公里,,超值严选车,17.8,0,6.25
大众, 帕萨特, 2013款, 1.8TSI, DSG御尊版,,,,2014, 6.1万公里, 到店服务,严选车,20.5,1,11.87
大众, 途安, 2011款, 1.4T, 自动智雅版5座,,,,2012, 10.8万公里, 到店服务,超值严选车,14.5,0,7
马自达6, 2013款, 2.0L, 自动时尚型,,,,,2014, 7.0万公里, 到店服务,严选车,25.6,0,6.96
本田, 凌派, 2016款, 1.8L, CVT豪华版,,,,2017, 4.3万公里,,严选车,15.4,0,9.1
现代, 名图, 2014款, 1.8L, 自动智能型GLS,,,,2015, 5.9万公里,,严选车,19.5,0,8.8
大众, 高尔夫, 2012款, 2.0TSI, GTI,,,,2013, 7.5万公里, 到店服务,严选车,14.3,0,12.4
别克, 英朗, 2016款, 15N, 手动精英型,,,,2016, 3.7万公里, 到店服务,严选车,24.3,0,6.1
长安, 逸动, 2014款, 1.6L, 手动尊贵型,,,,2014, 3.5万公里,,严选车,13.3,0,4.7
哈弗H6, 2014款, 运动版, 1.5T, 手动两驱精英型,,,,2014, 9.8万公里,,严选车,15.3,0,4.8
马自达CX-4, 2018款, 2.0L, 自动两驱蓝天品位版,,,,,2018, 2.0万公里, 到店服务,严选车,11.4,0,14.88
福特, 福睿斯, 2015款, 1.5L, 自动时尚型,,,,2016, 7.1万公里, 到店服务,严选车,10,0,6.25
别克, 君威, 2015款, 1.6T, 精英技术型,,,,2015, 5.8万公里, 到店服务,严选车,11.9,0,9.5
别克, 凯越, 2011款, 1.6LE-AT,,,,,2012, 3.4万公里, 到店服务,超值严选车,8.7,0,4.5
本田, 雅阁, 2015款, 2.0L, LX, 舒适版,,,2015, 5.4万公里, 到店服务,严选车,13.6,1,12.92
斯柯达, 昕锐, 2016款, 1.6L, 手动前行版,,,,2016, 8.1万公里, 到店服务,严选车,39.3,0,4.5
本田, 雅阁, 2018款, 260TURBO, 精英版,,,,2019, 0.4万公里, 到店服务,严选车,38.9,0,18.5
日产, 天籁, 2013款, 2.0L, XL舒适版,,,,2015, 8.1万公里, 到店服务,严选车,9.5,1,10.53
本田, 思域, 2009款, 1.8L, 自动舒适版,,,,2009, 11.5万公里,,严选车,17.3,0,5
别克, 威朗, 2017款, 三厢, 15S, 手动进取型,,,2017, 2.2万公里,,严选车,13.8,0,6.78
别克, 昂科拉, 2014款, 1.4T, 自动两驱都市精英型,,,,2013, 6.4万公里, 到店服务,超值严选车,20.6,0,6.67
本田, 思域, 2014款, 1.8L, 自动舒适版,,,,2014, 8.5万公里, 到店服务,严选车,13.3,0,8.5
宝马3系, 2016款, 316Li, 时尚型,,,,,2016, 7.3万公里, 到店服务,严选车,38,0,19.08
丰田, 凯美瑞, 2015款, 2.0G, 领先版,,,,2016, 6.3万公里, 到店服务,严选车,9,0,14
日产, 天籁, 2013款, 2.0L, XL舒适版,,,,2015, 8.7万公里, 到店服务,严选车,27.6,1,10.71
福特, 翼虎, 2017款, EcoBoost,180, 两驱铂翼型,,,2016, 3.9万公里, 到店服务,严选车,12.5,1,11.69
铃木, 锋驭, 2014款, 1.6L, CVT两驱精英型,,,,2014, 12.0万公里, 到店服务,严选车,12.9,0,6.25
宝马X1, 2012款, sDrive18i豪华型(进口),,,,,,2013, 12.3万公里, 到店服务,严选车,9.3,0,11.8
日产, 轩逸, 2016款, 1.6XL, CVT豪华版,,,,2017, 4.8万公里,,严选车,27.1,0,9.17
大众, 蔚揽(进口), 2017款, 380TSI, 两驱畅行版(进口),,,,2017, 7.8万公里, 到店服务,严选车,54.5,0,20.88
宝马X1, 2014款, xDrive20i, X设计套装,,,,,2014, 7.5万公里,,严选车,11.2,0,25
奔驰C级, 2011款, C,200, CGI, 时尚型,,,2011, 8.1万公里, 到店服务,严选车,18,0,11.98
丰田, 雷凌, 2017款, 1.2T, G, CVT精英版,,,2017, 5.9万公里, 到店服务,严选车,7.6,0,9.6
江淮, 瑞风M5, 2013款, 2.0T, 汽油手动商务版,,,,2015, 5.6万公里,,超值严选车,27.1,0,7.3
传祺GS4, 2015款, 200T, G-DCT豪华版,,,,,2016, 4.8万公里,,准新车严选车,12.3,0,8.34
凯迪拉克XTS, 2016款, 28T, 精英型,,,,,2016, 7.4万公里, 到店服务,准新车严选车,15.8,0,18.8
奥迪A5, 2014款, Coupe,45, TFSI(进口),,,,2014, 6.2万公里, 到店服务,准新车严选车,31.5,0,20.58
大众, 尚酷, 2015款, 1.4TSI, 风尚版(进口),,,,2016, 3.3万公里, 到店服务,严选车,36.4,0,14.6
大众, 速腾, 2018款, 1.6L, 自动舒适型,,,,2018, 2.9万公里,,严选车,15.2,0,11
现代, 索纳塔九, 2015款, 1.6T, GLS智能型,,,,2016, 8.2万公里,,严选车,11.7,0,10.42
众泰, 大迈X5, 2015款, 1.5T, CVT知县型, 国IV,,,2016, 10.0万公里,,严选车,17.4,0,6.25
奔驰A级, 2016款, A,200, 动感型(进口),,,,2016, 3.7万公里, 到店服务,严选车,29.2,0,16.9
马自达, 昂克赛拉, 2014款, 两厢, 1.5L, 自动豪华型,,,2014, 4.3万公里, 到店服务,严选车,10.1,0,8.8
哈弗H6, 2017款, 蓝标, 运动版, 1.5T, 自动两驱豪华型,,,2017, 4.8万公里, 到店服务,严选车,37.4,0,8.5
海马骑士, 2013款, 2.0L, 手动经典型,,,,,2013, 2.5万公里,,准新车严选车,11.1,0,4.85
大众CC, 2013款, 1.8TSI, 豪华型,,,,,2014, 4.9万公里, 到店服务,严选车,73.8,0,15.3
马自达CX-5, 2013款, 2.5L, 自动四驱豪华型,,,,,2014, 5.9万公里,,超值严选车,7,0,12.5
丰田, 卡罗拉, 2014款, 1.6L, CVT, GL,,,2016, 2.0万公里, 到店服务,严选车,32.7,0,8.55
现代ix35, 2010款, 2.0L, 自动两驱精英版GLS,,,,,2011, 8.2万公里, 到店服务,准新车严选车,21.7,0,6.5
Jeep, 自由侠, 2016款, 1.4T, 自动智能版,,,,2016, 3.5万公里, 到店服务,严选车,16.3,0,9.47
丰田, 卡罗拉, 2014款, 1.6L, CVT, GL-i,,,2016, 5.8万公里, 到店服务,严选车,23,0,9.2
宝马X3, 2016款, sDrive20i(进口),,,,,,2017, 5.4万公里, 到店服务,严选车,43.2,0,29.3
福特, 福克斯, 2015款, 三厢, 1.6L, 自动舒适型,,,2016, 5.7万公里, 到店服务,严选车,44.3,0,7.5
Smart, smart, fortwo, 2012款,1, MHD, 硬顶标准版,,2014, 6.1万公里, 到店服务,严选车,27.1,0,5.8
本田, 飞度, 2011款, 1.5L, 手动豪华版,,,,2014, 8.2万公里,,,12.8,0,4.7
本田, 飞度, 2016款, 1.5L, LXS, CVT舒适天窗版,,,2017, 4.6万公里, 到店服务,,38,0,7.5
别克GL8, 2013款, 2.4L, 行政版,,,,,2014, 10.2万公里,,超值急售准新车,11,0,10
别克, 君威, 2015款, 1.6T, 领先技术型,,,,2017, 2.1万公里, 到店服务,,14.4,1,10.7
福特, 翼搏, 2013款, 1.0L, GTDi, 手动尊贵型,,,2014, 6.9万公里,,,21.8,0,5.5
大众, 凌渡, 2018款, 230TSI, DSG风尚版,,,,2018, 3.1万公里,,急售,5.1,0,11.46
现代, 途胜, 2013款, 2.0L, 手动两驱时尚型,,,,2014, 10.8万公里, 到店服务,急售,13.7,0,5.21
奔驰CLA级, 2014款, CLA,260, 4MATIC(进口),,,,2015, 8.5万公里,,,13.8,0,22
奔驰E级, 2013款, E,260, L, CGI时尚型,,,2013, 9.5万公里, 到店服务,超值急售,18.3,0,20
别克, 君威, 2015款, 2.0L, 精英时尚型,,,,2017, 1.7万公里, 到店服务,超值急售,9.2,0,11.64
凯迪拉克ATS-L, 2016款, 25T, 舒适型,,,,,2015, 8.5万公里, 到店服务,超值急售,12.8,0,15.8
宝马3系, 2013款, 320i, 时尚型,,,,,2013, 13.6万公里,,,70,0,14.58
金杯, 海狮X30L, 2016款, 1.5L财富版DLCG14,,,,,2019, 0.3万公里,,,11.7,0,5.21
路虎, 揽胜极光, 2014款, 2.0T, 5门耀享版(进口),,,,2015, 8.4万公里, 到店服务,超值急售,12.4,0,22.6
大众, 速腾, 2014款, 改款, 1.6L, 自动舒适型,,,2015, 3.6万公里, 到店服务,准新车,16.3,0,8.98
奥迪A4L, 2015款,35, TFSI, 自动舒适型,,,,2015, 6.0万公里, 到店服务,急售准新车,18.7,0,19.7
奔驰GLA级, 2018款, GLA,200, 时尚型,,,,2019, 1.0万公里, 到店服务,准新车,9.8,0,23
本田UR-V, 2017款, 370TURBO, 四驱尊享版,,,,,2017, 6.2万公里, 到店服务,急售,14.8,0,23.6
北汽绅宝, 绅宝X25, 2015款, 1.5L, 手动舒适型,,,,2016, 2.4万公里,,超值,14.1,0,3.65
斯柯达, 明锐, 2014款, 1.6L, 手动逸杰版,,,,2013, 9.3万公里,,,11.6,0,4.5
日产, 奇骏, 2014款, 2.0L, CVT舒适版, 2WD,,,2014, 7.5万公里, 到店服务,超值急售,17.3,0,13
本田, 缤智, 2017款, 1.5L, CVT两驱舒适型,,,,2017, 4.7万公里, 到店服务,准新车,8.8,0,10.31
别克, 君越, 2013款, 2.4L, SIDI精英舒适型,,,,2016, 6.1万公里, 到店服务,,18.6,0,13.5
雪佛兰, 科帕奇, 2012款, 2.4L, 两驱城市版, 5座,,,2013, 7.2万公里,,急售,10.1,0,8.32
丰田, 皇冠, 2015款, 2.0T, 时尚版,,,,2017, 2.5万公里, 到店服务,急售,11.9,0,22.7
别克, 昂科威, 2016款, 28T, 四驱精英型,,,,2016, 6.0万公里, 到店服务,,17.9,0,15.8
奔驰C级, 2017款, 改款, C,200, L, 运动版,,2017, 3.6万公里, 到店服务,准新车,5.1,0,28.5
福特, 翼虎, 2013款, 1.6L, GTDi, 两驱风尚型,,,2014, 6.4万公里,,,63.8,0,10.42
起亚K4, 2015款, 1.8L, 自动GLS, Special,,,,2016, 6.3万公里, 到店服务,急售,18.6,0,9.2
奥迪A4L, 2013款,35, TFSI, 自动舒适型,,,,2014, 7.5万公里, 到店服务,,25.5,0,17.1
福特, 翼虎, 2015款, 1.5L, GTDi, 两驱风尚型,,,2015, 3.7万公里, 到店服务,急售,8.2,1,10.96
别克, 威朗, 2018款, 三厢, 20T, 双离合领先型,,,2018, 4.1万公里, 到店服务,,16.3,0,11
路虎, 揽胜极光, 2014款, 2.0T, 5门耀享版(进口),,,,2014, 6.7万公里, 到店服务,,43.2,0,22.98
别克, 威朗, 2017款, 三厢, 15S, 自动领先型,,,2017, 0.6万公里,,超值急售,13,0,10
日产, 天籁, 2016款, 2.0L, XL-Upper智尚版,,,,2018, 2.4万公里,,,43.4,0,14.1
宝马5系, 2013款, 525Li, 豪华型,,,,,2013, 10.9万公里, 到店服务,,21.1,0,23.8
奔驰C级, 2011款, C,200, 时尚旅行版(进口),,,,2012, 11.5万公里, 到店服务,,57.5,0,15.63
别克, 君威, 2015款, 2.0L, 领先时尚型,,,,2015, 10.0万公里, 到店服务,急售,19.2,0,9.2
哈弗H6, 2016款, 升级版, 1.5T, 手动两驱超值型,,,,2016, 2.4万公里, 店内直卖,,26,0,4.6
别克, 威朗, 2018款, 三厢, 15S, 自动领先型,,,2018, 2.6万公里, 店内直卖,准新车,22.1,0,9.18
别克, 威朗, 2019款, 三厢, 15S, 自动进取型,,,2019, 0.4万公里, 店内直卖,,11.9,0,8.93
哈弗H2, 2016款, 红标, 1.5T, 自动两驱豪华型,,,,2016, 5.3万公里, 店内直卖,,12.4,0,5.9
丰田, YARiS, L, 致炫, 2014款, 1.5G, 手动炫动版,,2014, 5.2万公里, 店内直卖,,26,0,3.86
丰田, 凯美瑞, 2013款, 200G, 经典豪华版,,,,2015, 8.4万公里, 店内直卖,急售准新车,14.8,0,10.68
DS, 5LS, 2016款, 1.6T, 舒适版THP160,,,,2016, 4.2万公里, 店内直卖,超值,76.3,0,7.85
宝马X1, 2016款, sDrive18Li, 豪华型,,,,,2016, 4.9万公里, 店内直卖,,13.6,0,18.64
本田, 飞度, 2014款, 1.5L, LX, CVT舒适型,,,2015, 7.3万公里, 店内直卖,超值急售,21.7,0,5.7
雪佛兰, 科鲁兹, 2016款, 1.5L, 自动时尚天窗版,,,,2016, 2.0万公里, 店内直卖,,4.4,0,6.6
大众POLO, 2014款, 1.6L, 自动舒适版,,,,,2015, 4.0万公里, 店内直卖,急售,13.7,0,5.96
